Datetime (UTC),Datetime (Local),Capacity factor,Hour,Month,Year,Day
2016-01-02 10:00:00,2016-01-02 11:00:00,0.312,11,1,2016,2
2016-01-02 11:00:00,2016-01-02 12:00:00,0.419,12,1,2016,2
2016-01-02 12:00:00,2016-01-02 13:00:00,0.454,13,1,2016,2
2016-01-02 13:00:00,2016-01-02 14:00:00,0.412,14,1,2016,2
2016-01-02 14:00:00,2016-01-02 15:00:00,0.315,15,1,2016,2
2016-01-02 15:00:00,2016-01-02 16:00:00,0.17,16,1,2016,2
2016-01-02 16:00:00,2016-01-02 17:00:00,0.027,17,1,2016,2
2016-01-02 17:00:00,2016-01-02 18:00:00,0.0,18,1,2016,2
2016-01-02 18:00:00,2016-01-02 19:00:00,0.0,19,1,2016,2
2016-01-02 19:00:00,2016-01-02 20:00:00,0.0,20,1,2016,2
2016-01-02 20:00:00,2016-01-02 21:00:00,0.0,21,1,2016,2
2016-01-02 21:00:00,2016-01-02 22:00:00,0.0,22,1,2016,2
2016-01-02 22:00:00,2016-01-02 23:00:00,0.0,23,1,2016,2
2016-01-02 23:00:00,2016-01-03 00:00:00,0.0,0,1,2016,3
2016-01-03 00:00:00,2016-01-03 01:00:00,0.0,1,1,2016,3
2016-01-03 01:00:00,2016-01-03 02:00:00,0.0,2,1,2016,3
2016-01-03 02:00:00,2016-01-03 03:00:00,0.0,3,1,2016,3
2016-01-03 03:00:00,2016-01-03 04:00:00,0.0,4,1,2016,3
2016-01-03 04:00:00,2016-01-03 05:00:00,0.0,5,1,2016,3
2016-01-03 05:00:00,2016-01-03 06:00:00,0.0,6,1,2016,3
2016-01-03 06:00:00,2016-01-03 07:00:00,0.0,7,1,2016,3
2016-01-03 07:00:00,2016-01-03 08:00:00,0.001,8,1,2016,3
2016-01-03 08:00:00,2016-01-03 09:00:00,0.034,9,1,2016,3
2016-01-03 09:00:00,2016-01-03 10:00:00,0.086,10,1,2016,3
2016-01-03 10:00:00,2016-01-03 11:00:00,0.122,11,1,2016,3
2016-01-03 11:00:00,2016-01-03 12:00:00,0.153,12,1,2016,3
2016-01-03 12:00:00,2016-01-03 13:00:00,0.171,13,1,2016,3
2016-01-03 13:00:00,2016-01-03 14:00:00,0.159,14,1,2016,3
2016-01-03 14:00:00,2016-01-03 15:00:00,0.112,15,1,2016,3
2016-01-03 15:00:00,2016-01-03 16:00:00,0.053,16,1,2016,3
2016-01-03 16:00:00,2016-01-03 17:00:00,0.007,17,1,2016,3
2016-01-03 17:00:00,2016-01-03 18:00:00,0.0,18,1,2016,3
2016-01-03 18:00:00,2016-01-03 19:00:00,0.0,19,1,2016,3
2016-01-03 19:00:00,2016-01-03 20:00:00,0.0,20,1,2016,3
2016-01-03 20:00:00,2016-01-03 21:00:00,0.0,21,1,2016,3
2016-01-03 21:00:00,2016-01-03 22:00:00,0.0,22,1,2016,3
2016-01-03 22:00:00,2016-01-03 23:00:00,0.0,23,1,2016,3
2016-01-03 23:00:00,2016-01-04 00:00:00,0.0,0,1,2016,4
2016-01-04 00:00:00,2016-01-04 01:00:00,0.0,1,1,2016,4
2016-01-04 01:00:00,2016-01-04 02:00:00,0.0,2,1,2016,4
2016-01-04 02:00:00,2016-01-04 03:00:00,0.0,3,1,2016,4
2016-01-04 03:00:00,2016-01-04 04:00:00,0.0,4,1,2016,4
2016-01-04 04:00:00,2016-01-04 05:00:00,0.0,5,1,2016,4
2016-01-04 05:00:00,2016-01-04 06:00:00,0.0,6,1,2016,4
2016-01-04 06:00:00,2016-01-04 07:00:00,0.0,7,1,2016,4
2016-01-04 07:00:00,2016-01-04 08:00:00,0.001,8,1,2016,4
2016-01-04 08:00:00,2016-01-04 09:00:00,0.032,9,1,2016,4
2016-01-04 09:00:00,2016-01-04 10:00:00,0.087,10,1,2016,4
2016-01-04 10:00:00,2016-01-04 11:00:00,0.167,11,1,2016,4
2016-01-04 11:00:00,2016-01-04 12:00:00,0.214,12,1,2016,4
2016-01-04 12:00:00,2016-01-04 13:00:00,0.219,13,1,2016,4
2016-01-04 13:00:00,2016-01-04 14:00:00,0.189,14,1,2016,4
2016-01-04 14:00:00,2016-01-04 15:00:00,0.129,15,1,2016,4
2016-01-04 15:00:00,2016-01-04 16:00:00,0.062,16,1,2016,4
2016-01-04 16:00:00,2016-01-04 17:00:00,0.007,17,1,2016,4
2016-01-04 17:00:00,2016-01-04 18:00:00,0.0,18,1,2016,4
2016-01-04 18:00:00,2016-01-04 19:00:00,0.0,19,1,2016,4
2016-01-04 19:00:00,2016-01-04 20:00:00,0.0,20,1,2016,4
